itemid,label,fluid,category,valueuom,aliases,structured_text
50808,Free Calcium,Blood,Blood Gas,mmol/L,Free Calcium | Free Calcium Blood | Blood Gas Free Calcium,"TYPE: LAB_TEST
DISPLAY_NAME: Free Calcium
ALIASES: Free Calcium | Free Calcium Blood | Blood Gas Free Calcium
UNIT: mmol/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50808"
50826,Tidal Volume,Blood,Blood Gas,,Tidal Volume | Tidal Volume Blood | Blood Gas Tidal Volume,"TYPE: LAB_TEST
DISPLAY_NAME: Tidal Volume
ALIASES: Tidal Volume | Tidal Volume Blood | Blood Gas Tidal Volume
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50826"
50813,Lactate,Blood,Blood Gas,mmol/L,Lactate | Lactate Blood | Blood Gas Lactate,"TYPE: LAB_TEST
DISPLAY_NAME: Lactate
ALIASES: Lactate | Lactate Blood | Blood Gas Lactate
UNIT: mmol/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50813"
52029,% Ionized Calcium,Blood,Blood Gas,,% Ionized Calcium | % Ionized Calcium Blood | Blood Gas % Ionized Calcium,"TYPE: LAB_TEST
DISPLAY_NAME: % Ionized Calcium
ALIASES: % Ionized Calcium | % Ionized Calcium Blood | Blood Gas % Ionized Calcium
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52029"
50801,Alveolar-arterial Gradient,Blood,Blood Gas,mm Hg,Alveolar-arterial Gradient | Alveolar-arterial Gradient Blood | Blood Gas Alveolar-arterial Gradient,"TYPE: LAB_TEST
DISPLAY_NAME: Alveolar-arterial Gradient
ALIASES: Alveolar-arterial Gradient | Alveolar-arterial Gradient Blood | Blood Gas Alveolar-arterial Gradient
UNIT: mm Hg
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50801"
50810,"Hematocrit, Calculated",Blood,Blood Gas,%,"Hematocrit, Calculated | Hematocrit Calculated | Hematocrit, Calculated Blood | Blood Gas Hematocrit, Calculated","TYPE: LAB_TEST
DISPLAY_NAME: Hematocrit, Calculated
ALIASES: Hematocrit, Calculated | Hematocrit Calculated | Hematocrit, Calculated Blood | Blood Gas Hematocrit, Calculated
UNIT: %
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50810"
52025,Delete,Blood,Blood Gas,,Delete | Delete Blood | Blood Gas Delete,"TYPE: LAB_TEST
DISPLAY_NAME: Delete
ALIASES: Delete | Delete Blood | Blood Gas Delete
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52025"
52031,Osmolality,Blood,Blood Gas,,Osmolality | Osmolality Blood | Blood Gas Osmolality,"TYPE: LAB_TEST
DISPLAY_NAME: Osmolality
ALIASES: Osmolality | Osmolality Blood | Blood Gas Osmolality
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52031"
52022,"Albumin, Blood",Blood,Blood Gas,,"Albumin, Blood | Albumin Blood | Albumin, Blood Blood | Blood Gas Albumin, Blood","TYPE: LAB_TEST
DISPLAY_NAME: Albumin, Blood
ALIASES: Albumin, Blood | Albumin Blood | Albumin, Blood Blood | Blood Gas Albumin, Blood
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52022"
50806,"Chloride, Whole Blood",Blood,Blood Gas,mEq/L,"Chloride, Whole Blood | Chloride Whole Blood | Chloride, Whole Blood Blood | Blood Gas Chloride, Whole Blood","TYPE: LAB_TEST
DISPLAY_NAME: Chloride, Whole Blood
ALIASES: Chloride, Whole Blood | Chloride Whole Blood | Chloride, Whole Blood Blood | Blood Gas Chloride, Whole Blood
UNIT: mEq/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50806"
50820,pH,Blood,Blood Gas,units,pH | pH Blood | Blood Gas pH,"TYPE: LAB_TEST
DISPLAY_NAME: pH
ALIASES: pH | pH Blood | Blood Gas pH
UNIT: units
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50820"
52028,Hematocrit,Blood,Blood Gas,,Hematocrit | Hematocrit Blood | Blood Gas Hematocrit,"TYPE: LAB_TEST
DISPLAY_NAME: Hematocrit
ALIASES: Hematocrit | Hematocrit Blood | Blood Gas Hematocrit
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52028"
52036,Voided Specimen,Blood,Blood Gas,,Voided Specimen | Voided Specimen Blood | Blood Gas Voided Specimen,"TYPE: LAB_TEST
DISPLAY_NAME: Voided Specimen
ALIASES: Voided Specimen | Voided Specimen Blood | Blood Gas Voided Specimen
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52036"
50812,Intubated,Blood,Blood Gas,,Intubated | Intubated Blood | Blood Gas Intubated,"TYPE: LAB_TEST
DISPLAY_NAME: Intubated
ALIASES: Intubated | Intubated Blood | Blood Gas Intubated
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50812"
50817,Oxygen Saturation,Blood,Blood Gas,%,Oxygen Saturation | Oxygen Saturation Blood | Blood Gas Oxygen Saturation,"TYPE: LAB_TEST
DISPLAY_NAME: Oxygen Saturation
ALIASES: Oxygen Saturation | Oxygen Saturation Blood | Blood Gas Oxygen Saturation
UNIT: %
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50817"
52035,Total Calcium,Blood,Blood Gas,,Total Calcium | Total Calcium Blood | Blood Gas Total Calcium,"TYPE: LAB_TEST
DISPLAY_NAME: Total Calcium
ALIASES: Total Calcium | Total Calcium Blood | Blood Gas Total Calcium
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52035"
50823,Required O2,Blood,Blood Gas,,Required O2 | Required O2 Blood | Blood Gas Required O2,"TYPE: LAB_TEST
DISPLAY_NAME: Required O2
ALIASES: Required O2 | Required O2 Blood | Blood Gas Required O2
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50823"
52024,"Creatinine, Whole Blood",Blood,Blood Gas,mg/dL,"Creatinine, Whole Blood | Creatinine Whole Blood | Creatinine, Whole Blood Blood | Blood Gas Creatinine, Whole Blood","TYPE: LAB_TEST
DISPLAY_NAME: Creatinine, Whole Blood
ALIASES: Creatinine, Whole Blood | Creatinine Whole Blood | Creatinine, Whole Blood Blood | Blood Gas Creatinine, Whole Blood
UNIT: mg/dL
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52024"
52037,WB tCO2,Blood,Blood Gas,,WB tCO2 | WB tCO2 Blood | Blood Gas WB tCO2,"TYPE: LAB_TEST
DISPLAY_NAME: WB tCO2
ALIASES: WB tCO2 | WB tCO2 Blood | Blood Gas WB tCO2
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52037"
50815,O2 Flow,Blood,Blood Gas,L/min,O2 Flow | O2 Flow Blood | Blood Gas O2 Flow,"TYPE: LAB_TEST
DISPLAY_NAME: O2 Flow
ALIASES: O2 Flow | O2 Flow Blood | Blood Gas O2 Flow
UNIT: L/min
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50815"
52452,"Potassium, Whole Blood",Blood,Blood Gas,,"Potassium, Whole Blood | Potassium Whole Blood | Potassium, Whole Blood Blood | Blood Gas Potassium, Whole Blood","TYPE: LAB_TEST
DISPLAY_NAME: Potassium, Whole Blood
ALIASES: Potassium, Whole Blood | Potassium Whole Blood | Potassium, Whole Blood Blood | Blood Gas Potassium, Whole Blood
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52452"
50804,Calculated Total CO2,Blood,Blood Gas,mEq/L,Calculated Total CO2 | Calculated Total CO2 Blood | Blood Gas Calculated Total CO2,"TYPE: LAB_TEST
DISPLAY_NAME: Calculated Total CO2
ALIASES: Calculated Total CO2 | Calculated Total CO2 Blood | Blood Gas Calculated Total CO2
UNIT: mEq/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50804"
52030,Lithium,Blood,Blood Gas,,Lithium | Lithium Blood | Blood Gas Lithium,"TYPE: LAB_TEST
DISPLAY_NAME: Lithium
ALIASES: Lithium | Lithium Blood | Blood Gas Lithium
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52030"
50811,Hemoglobin,Blood,Blood Gas,g/dL,Hemoglobin | Hemoglobin Blood | Blood Gas Hemoglobin,"TYPE: LAB_TEST
DISPLAY_NAME: Hemoglobin
ALIASES: Hemoglobin | Hemoglobin Blood | Blood Gas Hemoglobin
UNIT: g/dL
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50811"
50824,"Sodium, Whole Blood",Blood,Blood Gas,mEq/L,"Sodium, Whole Blood | Sodium Whole Blood | Sodium, Whole Blood Blood | Blood Gas Sodium, Whole Blood","TYPE: LAB_TEST
DISPLAY_NAME: Sodium, Whole Blood
ALIASES: Sodium, Whole Blood | Sodium Whole Blood | Sodium, Whole Blood Blood | Blood Gas Sodium, Whole Blood
UNIT: mEq/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50824"
52033,Specimen Type,Blood,Blood Gas,,Specimen Type | Specimen Type Blood | Blood Gas Specimen Type,"TYPE: LAB_TEST
DISPLAY_NAME: Specimen Type
ALIASES: Specimen Type | Specimen Type Blood | Blood Gas Specimen Type
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52033"
52027,"Glucose, Whole Blood",Blood,Blood Gas,,"Glucose, Whole Blood | Glucose Whole Blood | Glucose, Whole Blood Blood | Blood Gas Glucose, Whole Blood","TYPE: LAB_TEST
DISPLAY_NAME: Glucose, Whole Blood
ALIASES: Glucose, Whole Blood | Glucose Whole Blood | Glucose, Whole Blood Blood | Blood Gas Glucose, Whole Blood
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52027"
50802,Base Excess,Blood,Blood Gas,mEq/L,Base Excess | Base Excess Blood | Blood Gas Base Excess,"TYPE: LAB_TEST
DISPLAY_NAME: Base Excess
ALIASES: Base Excess | Base Excess Blood | Blood Gas Base Excess
UNIT: mEq/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50802"
50814,Methemoglobin,Blood,Blood Gas,%,Methemoglobin | Methemoglobin Blood | Blood Gas Methemoglobin,"TYPE: LAB_TEST
DISPLAY_NAME: Methemoglobin
ALIASES: Methemoglobin | Methemoglobin Blood | Blood Gas Methemoglobin
UNIT: %
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50814"
52034,Total Calcium,Blood,Blood Gas,,Total Calcium | Total Calcium Blood | Blood Gas Total Calcium,"TYPE: LAB_TEST
DISPLAY_NAME: Total Calcium
ALIASES: Total Calcium | Total Calcium Blood | Blood Gas Total Calcium
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52034"
52442,Lactate,Blood,Blood Gas,,Lactate | Lactate Blood | Blood Gas Lactate,"TYPE: LAB_TEST
DISPLAY_NAME: Lactate
ALIASES: Lactate | Lactate Blood | Blood Gas Lactate
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52442"
50818,pCO2,Blood,Blood Gas,mm Hg,pCO2 | pCO2 Blood | Blood Gas pCO2,"TYPE: LAB_TEST
DISPLAY_NAME: pCO2
ALIASES: pCO2 | pCO2 Blood | Blood Gas pCO2
UNIT: mm Hg
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50818"
50828,Ventilator,Blood,Blood Gas,,Ventilator | Ventilator Blood | Blood Gas Ventilator,"TYPE: LAB_TEST
DISPLAY_NAME: Ventilator
ALIASES: Ventilator | Ventilator Blood | Blood Gas Ventilator
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50828"
50809,Glucose,Blood,Blood Gas,mg/dL,Glucose | Glucose Blood | Blood Gas Glucose,"TYPE: LAB_TEST
DISPLAY_NAME: Glucose
ALIASES: Glucose | Glucose Blood | Blood Gas Glucose
UNIT: mg/dL
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50809"
50821,pO2,Blood,Blood Gas,mm Hg,pO2 | pO2 Blood | Blood Gas pO2,"TYPE: LAB_TEST
DISPLAY_NAME: pO2
ALIASES: pO2 | pO2 Blood | Blood Gas pO2
UNIT: mm Hg
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50821"
52026,Estimated GFR (MDRD equation),Blood,Blood Gas,,Estimated GFR (MDRD equation) | Estimated GFR (MDRD equation) Blood | Blood Gas Estimated GFR (MDRD equation),"TYPE: LAB_TEST
DISPLAY_NAME: Estimated GFR (MDRD equation)
ALIASES: Estimated GFR (MDRD equation) | Estimated GFR (MDRD equation) Blood | Blood Gas Estimated GFR (MDRD equation)
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52026"
52434,"Chloride, Whole Blood",Blood,Blood Gas,,"Chloride, Whole Blood | Chloride Whole Blood | Chloride, Whole Blood Blood | Blood Gas Chloride, Whole Blood","TYPE: LAB_TEST
DISPLAY_NAME: Chloride, Whole Blood
ALIASES: Chloride, Whole Blood | Chloride Whole Blood | Chloride, Whole Blood Blood | Blood Gas Chloride, Whole Blood
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52434"
50803,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas,mEq/L,"Calculated Bicarbonate, Whole Blood | Calculated Bicarbonate Whole Blood | Calculated Bicarbonate, Whole Blood Blood | Blood Gas Calculated Bicarbonate, Whole Blood","TYPE: LAB_TEST
DISPLAY_NAME: Calculated Bicarbonate, Whole Blood
ALIASES: Calculated Bicarbonate, Whole Blood | Calculated Bicarbonate Whole Blood | Calculated Bicarbonate, Whole Blood Blood | Blood Gas Calculated Bicarbonate, Whole Blood
UNIT: mEq/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50803"
52023,Assist/Control,Blood,Blood Gas,,Assist/Control | Assist/Control Blood | Blood Gas Assist/Control,"TYPE: LAB_TEST
DISPLAY_NAME: Assist/Control
ALIASES: Assist/Control | Assist/Control Blood | Blood Gas Assist/Control
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52023"
50822,"Potassium, Whole Blood",Blood,Blood Gas,mEq/L,"Potassium, Whole Blood | Potassium Whole Blood | Potassium, Whole Blood Blood | Blood Gas Potassium, Whole Blood","TYPE: LAB_TEST
DISPLAY_NAME: Potassium, Whole Blood
ALIASES: Potassium, Whole Blood | Potassium Whole Blood | Potassium, Whole Blood Blood | Blood Gas Potassium, Whole Blood
UNIT: mEq/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50822"
50827,Ventilation Rate,Blood,Blood Gas,,Ventilation Rate | Ventilation Rate Blood | Blood Gas Ventilation Rate,"TYPE: LAB_TEST
DISPLAY_NAME: Ventilation Rate
ALIASES: Ventilation Rate | Ventilation Rate Blood | Blood Gas Ventilation Rate
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50827"
52032,P50 of Hemoglobin,Blood,Blood Gas,,P50 of Hemoglobin | P50 of Hemoglobin Blood | Blood Gas P50 of Hemoglobin,"TYPE: LAB_TEST
DISPLAY_NAME: P50 of Hemoglobin
ALIASES: P50 of Hemoglobin | P50 of Hemoglobin Blood | Blood Gas P50 of Hemoglobin
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52032"
50819,PEEP,Blood,Blood Gas,,PEEP | PEEP Blood | Blood Gas PEEP,"TYPE: LAB_TEST
DISPLAY_NAME: PEEP
ALIASES: PEEP | PEEP Blood | Blood Gas PEEP
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50819"
52021,Abz,Blood,Blood Gas,,Abz | Abz Blood | Blood Gas Abz,"TYPE: LAB_TEST
DISPLAY_NAME: Abz
ALIASES: Abz | Abz Blood | Blood Gas Abz
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52021"
50805,Carboxyhemoglobin,Blood,Blood Gas,%,Carboxyhemoglobin | Carboxyhemoglobin Blood | Blood Gas Carboxyhemoglobin,"TYPE: LAB_TEST
DISPLAY_NAME: Carboxyhemoglobin
ALIASES: Carboxyhemoglobin | Carboxyhemoglobin Blood | Blood Gas Carboxyhemoglobin
UNIT: %
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50805"
50816,Oxygen,Blood,Blood Gas,%,Oxygen | Oxygen Blood | Blood Gas Oxygen,"TYPE: LAB_TEST
DISPLAY_NAME: Oxygen
ALIASES: Oxygen | Oxygen Blood | Blood Gas Oxygen
UNIT: %
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50816"
50825,Temperature,Blood,Blood Gas,,Temperature | Temperature Blood | Blood Gas Temperature,"TYPE: LAB_TEST
DISPLAY_NAME: Temperature
ALIASES: Temperature | Temperature Blood | Blood Gas Temperature
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50825"
52455,"Sodium, Whole Blood",Blood,Blood Gas,,"Sodium, Whole Blood | Sodium Whole Blood | Sodium, Whole Blood Blood | Blood Gas Sodium, Whole Blood","TYPE: LAB_TEST
DISPLAY_NAME: Sodium, Whole Blood
ALIASES: Sodium, Whole Blood | Sodium Whole Blood | Sodium, Whole Blood Blood | Blood Gas Sodium, Whole Blood
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52455"
52039,Calculated Bicarbonate,Fluid,Blood Gas,,Calculated Bicarbonate | Calculated Bicarbonate Fluid | Blood Gas Calculated Bicarbonate,"TYPE: LAB_TEST
DISPLAY_NAME: Calculated Bicarbonate
ALIASES: Calculated Bicarbonate | Calculated Bicarbonate Fluid | Blood Gas Calculated Bicarbonate
UNIT: 
CATEGORY: Blood Gas
FLUID: Fluid
LOINC: 
ITEMID: 52039"
52042,pO2,Fluid,Blood Gas,,pO2 | pO2 Fluid | Blood Gas pO2,"TYPE: LAB_TEST
DISPLAY_NAME: pO2
ALIASES: pO2 | pO2 Fluid | Blood Gas pO2
UNIT: 
CATEGORY: Blood Gas
FLUID: Fluid
LOINC: 
ITEMID: 52042"
52040,pCO2,Fluid,Blood Gas,,pCO2 | pCO2 Fluid | Blood Gas pCO2,"TYPE: LAB_TEST
DISPLAY_NAME: pCO2
ALIASES: pCO2 | pCO2 Fluid | Blood Gas pCO2
UNIT: 
CATEGORY: Blood Gas
FLUID: Fluid
LOINC: 
ITEMID: 52040"
52038,Base Excess,Fluid,Blood Gas,,Base Excess | Base Excess Fluid | Blood Gas Base Excess,"TYPE: LAB_TEST
DISPLAY_NAME: Base Excess
ALIASES: Base Excess | Base Excess Fluid | Blood Gas Base Excess
UNIT: 
CATEGORY: Blood Gas
FLUID: Fluid
LOINC: 
ITEMID: 52038"
52041,pH,Fluid,Blood Gas,,pH | pH Fluid | Blood Gas pH,"TYPE: LAB_TEST
DISPLAY_NAME: pH
ALIASES: pH | pH Fluid | Blood Gas pH
UNIT: 
CATEGORY: Blood Gas
FLUID: Fluid
LOINC: 
ITEMID: 52041"
52045,"pH, Urine",Urine,Blood Gas,,"pH, Urine | pH Urine | pH, Urine Urine | Blood Gas pH, Urine","TYPE: LAB_TEST
DISPLAY_NAME: pH, Urine
ALIASES: pH, Urine | pH Urine | pH, Urine Urine | Blood Gas pH, Urine
UNIT: 
CATEGORY: Blood Gas
FLUID: Urine
LOINC: 
ITEMID: 52045"
52044,"Osmolality, Urine",Urine,Blood Gas,,"Osmolality, Urine | Osmolality Urine | Osmolality, Urine Urine | Blood Gas Osmolality, Urine","TYPE: LAB_TEST
DISPLAY_NAME: Osmolality, Urine
ALIASES: Osmolality, Urine | Osmolality Urine | Osmolality, Urine Urine | Blood Gas Osmolality, Urine
UNIT: 
CATEGORY: Blood Gas
FLUID: Urine
LOINC: 
ITEMID: 52044"
52047,"Sodium, Urine",Urine,Blood Gas,,"Sodium, Urine | Sodium Urine | Sodium, Urine Urine | Blood Gas Sodium, Urine","TYPE: LAB_TEST
DISPLAY_NAME: Sodium, Urine
ALIASES: Sodium, Urine | Sodium Urine | Sodium, Urine Urine | Blood Gas Sodium, Urine
UNIT: 
CATEGORY: Blood Gas
FLUID: Urine
LOINC: 
ITEMID: 52047"
52046,"Potassium, Urine",Urine,Blood Gas,,"Potassium, Urine | Potassium Urine | Potassium, Urine Urine | Blood Gas Potassium, Urine","TYPE: LAB_TEST
DISPLAY_NAME: Potassium, Urine
ALIASES: Potassium, Urine | Potassium Urine | Potassium, Urine Urine | Blood Gas Potassium, Urine
UNIT: 
CATEGORY: Blood Gas
FLUID: Urine
LOINC: 
ITEMID: 52046"
52043,Voided Specimen,Other Body Fluid,Blood Gas,,Voided Specimen | Voided Specimen Other Body Fluid | Blood Gas Voided Specimen,"TYPE: LAB_TEST
DISPLAY_NAME: Voided Specimen
ALIASES: Voided Specimen | Voided Specimen Other Body Fluid | Blood Gas Voided Specimen
UNIT: 
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 52043"
50829,Fluid Type,Other Body Fluid,Blood Gas,,Fluid Type | Fluid Type Other Body Fluid | Blood Gas Fluid Type,"TYPE: LAB_TEST
DISPLAY_NAME: Fluid Type
ALIASES: Fluid Type | Fluid Type Other Body Fluid | Blood Gas Fluid Type
UNIT: 
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 50829"
50833,Potassium,Other Body Fluid,Blood Gas,,Potassium | Potassium Other Body Fluid | Blood Gas Potassium,"TYPE: LAB_TEST
DISPLAY_NAME: Potassium
ALIASES: Potassium | Potassium Other Body Fluid | Blood Gas Potassium
UNIT: 
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 50833"
50834,"Sodium, Body Fluid",Other Body Fluid,Blood Gas,,"Sodium, Body Fluid | Sodium Body Fluid | Sodium, Body Fluid Other Body Fluid | Blood Gas Sodium, Body Fluid","TYPE: LAB_TEST
DISPLAY_NAME: Sodium, Body Fluid
ALIASES: Sodium, Body Fluid | Sodium Body Fluid | Sodium, Body Fluid Other Body Fluid | Blood Gas Sodium, Body Fluid
UNIT: 
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 50834"
50832,"pO2, Body Fluid",Other Body Fluid,Blood Gas,,"pO2, Body Fluid | pO2 Body Fluid | pO2, Body Fluid Other Body Fluid | Blood Gas pO2, Body Fluid","TYPE: LAB_TEST
DISPLAY_NAME: pO2, Body Fluid
ALIASES: pO2, Body Fluid | pO2 Body Fluid | pO2, Body Fluid Other Body Fluid | Blood Gas pO2, Body Fluid
UNIT: 
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 50832"
50831,pH,Other Body Fluid,Blood Gas,units,pH | pH Other Body Fluid | Blood Gas pH,"TYPE: LAB_TEST
DISPLAY_NAME: pH
ALIASES: pH | pH Other Body Fluid | Blood Gas pH
UNIT: units
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 50831"
50830,"pCO2, Body Fluid",Other Body Fluid,Blood Gas,,"pCO2, Body Fluid | pCO2 Body Fluid | pCO2, Body Fluid Other Body Fluid | Blood Gas pCO2, Body Fluid","TYPE: LAB_TEST
DISPLAY_NAME: pCO2, Body Fluid
ALIASES: pCO2, Body Fluid | pCO2 Body Fluid | pCO2, Body Fluid Other Body Fluid | Blood Gas pCO2, Body Fluid
UNIT: 
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 50830"
50858,Acid Phosphatase,Blood,Chemistry,,Acid Phosphatase | Acid Phosphatase Blood | Chemistry Acid Phosphatase,"TYPE: LAB_TEST
DISPLAY_NAME: Acid Phosphatase
ALIASES: Acid Phosphatase | Acid Phosphatase Blood | Chemistry Acid Phosphatase
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50858"
50879,Barbiturate Screen,Blood,Chemistry,,Barbiturate Screen | Barbiturate Screen Blood | Chemistry Barbiturate Screen,"TYPE: LAB_TEST
DISPLAY_NAME: Barbiturate Screen
ALIASES: Barbiturate Screen | Barbiturate Screen Blood | Chemistry Barbiturate Screen
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50879"
50900,Carcinoembyronic Antigen (CEA),Blood,Chemistry,ng/mL,Carcinoembyronic Antigen (CEA) | Carcinoembyronic Antigen (CEA) Blood | Chemistry Carcinoembyronic Antigen (CEA),"TYPE: LAB_TEST
DISPLAY_NAME: Carcinoembyronic Antigen (CEA)
ALIASES: Carcinoembyronic Antigen (CEA) | Carcinoembyronic Antigen (CEA) Blood | Chemistry Carcinoembyronic Antigen (CEA)
UNIT: ng/mL
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50900"
50914,Cyclosporin,Blood,Chemistry,,Cyclosporin | Cyclosporin Blood | Chemistry Cyclosporin,"TYPE: LAB_TEST
DISPLAY_NAME: Cyclosporin
ALIASES: Cyclosporin | Cyclosporin Blood | Chemistry Cyclosporin
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50914"
51582,CH50,Blood,Chemistry,,CH50 | CH50 Blood | Chemistry CH50,"TYPE: LAB_TEST
DISPLAY_NAME: CH50
ALIASES: CH50 | CH50 Blood | Chemistry CH50
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51582"
51615,Epstein-Barr Virus EBNA IgG Ab,Blood,Chemistry,,Epstein-Barr Virus EBNA IgG Ab | Epstein-Barr Virus EBNA IgG Ab Blood | Chemistry Epstein-Barr Virus EBNA IgG Ab,"TYPE: LAB_TEST
DISPLAY_NAME: Epstein-Barr Virus EBNA IgG Ab
ALIASES: Epstein-Barr Virus EBNA IgG Ab | Epstein-Barr Virus EBNA IgG Ab Blood | Chemistry Epstein-Barr Virus EBNA IgG Ab
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51615"
51672,Immune Complexes,Blood,Chemistry,,Immune Complexes | Immune Complexes Blood | Chemistry Immune Complexes,"TYPE: LAB_TEST
DISPLAY_NAME: Immune Complexes
ALIASES: Immune Complexes | Immune Complexes Blood | Chemistry Immune Complexes
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51672"
51685,Lidocaine,Blood,Chemistry,,Lidocaine | Lidocaine Blood | Chemistry Lidocaine,"TYPE: LAB_TEST
DISPLAY_NAME: Lidocaine
ALIASES: Lidocaine | Lidocaine Blood | Chemistry Lidocaine
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51685"
51755,White Blood Cells,Blood,Chemistry,,White Blood Cells | White Blood Cells Blood | Chemistry White Blood Cells,"TYPE: LAB_TEST
DISPLAY_NAME: White Blood Cells
ALIASES: White Blood Cells | White Blood Cells Blood | Chemistry White Blood Cells
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51755"
