itemid,label,aliases,valueuom,category,fluid,structured_text
50820,pH,pH | pH Blood | Blood Gas pH,units,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: pH
ALIASES: pH | pH Blood | Blood Gas pH
UNIT: units
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50820"
52028,Hematocrit,Hematocrit | Hematocrit Blood | Blood Gas Hematocrit,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Hematocrit
ALIASES: Hematocrit | Hematocrit Blood | Blood Gas Hematocrit
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52028"
52036,Voided Specimen,Voided Specimen | Voided Specimen Blood | Blood Gas Voided Specimen,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Voided Specimen
ALIASES: Voided Specimen | Voided Specimen Blood | Blood Gas Voided Specimen
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52036"
50812,Intubated,Intubated | Intubated Blood | Blood Gas Intubated,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Intubated
ALIASES: Intubated | Intubated Blood | Blood Gas Intubated
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50812"
50817,Oxygen Saturation,Oxygen Saturation | Oxygen Saturation Blood | Blood Gas Oxygen Saturation,%,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Oxygen Saturation
ALIASES: Oxygen Saturation | Oxygen Saturation Blood | Blood Gas Oxygen Saturation
UNIT: %
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50817"
52035,Total Calcium,Total Calcium | Total Calcium Blood | Blood Gas Total Calcium,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Total Calcium
ALIASES: Total Calcium | Total Calcium Blood | Blood Gas Total Calcium
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52035"
50823,Required O2,Required O2 | Required O2 Blood | Blood Gas Required O2,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Required O2
ALIASES: Required O2 | Required O2 Blood | Blood Gas Required O2
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50823"
52024,"Creatinine, Whole Blood","Creatinine, Whole Blood | Creatinine Whole Blood | Creatinine, Whole Blood Blood | Blood Gas Creatinine, Whole Blood",mg/dL,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Creatinine, Whole Blood
ALIASES: Creatinine, Whole Blood | Creatinine Whole Blood | Creatinine, Whole Blood Blood | Blood Gas Creatinine, Whole Blood
UNIT: mg/dL
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52024"
52037,WB tCO2,WB tCO2 | WB tCO2 Blood | Blood Gas WB tCO2,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: WB tCO2
ALIASES: WB tCO2 | WB tCO2 Blood | Blood Gas WB tCO2
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52037"
50815,O2 Flow,O2 Flow | O2 Flow Blood | Blood Gas O2 Flow,L/min,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: O2 Flow
ALIASES: O2 Flow | O2 Flow Blood | Blood Gas O2 Flow
UNIT: L/min
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50815"
52452,"Potassium, Whole Blood","Potassium, Whole Blood | Potassium Whole Blood | Potassium, Whole Blood Blood | Blood Gas Potassium, Whole Blood",,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Potassium, Whole Blood
ALIASES: Potassium, Whole Blood | Potassium Whole Blood | Potassium, Whole Blood Blood | Blood Gas Potassium, Whole Blood
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52452"
50804,Calculated Total CO2,Calculated Total CO2 | Calculated Total CO2 Blood | Blood Gas Calculated Total CO2,mEq/L,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Calculated Total CO2
ALIASES: Calculated Total CO2 | Calculated Total CO2 Blood | Blood Gas Calculated Total CO2
UNIT: mEq/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50804"
52030,Lithium,Lithium | Lithium Blood | Blood Gas Lithium,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Lithium
ALIASES: Lithium | Lithium Blood | Blood Gas Lithium
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52030"
50811,Hemoglobin,Hemoglobin | Hemoglobin Blood | Blood Gas Hemoglobin,g/dL,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Hemoglobin
ALIASES: Hemoglobin | Hemoglobin Blood | Blood Gas Hemoglobin
UNIT: g/dL
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50811"
50824,"Sodium, Whole Blood","Sodium, Whole Blood | Sodium Whole Blood | Sodium, Whole Blood Blood | Blood Gas Sodium, Whole Blood",mEq/L,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Sodium, Whole Blood
ALIASES: Sodium, Whole Blood | Sodium Whole Blood | Sodium, Whole Blood Blood | Blood Gas Sodium, Whole Blood
UNIT: mEq/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50824"
52033,Specimen Type,Specimen Type | Specimen Type Blood | Blood Gas Specimen Type,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Specimen Type
ALIASES: Specimen Type | Specimen Type Blood | Blood Gas Specimen Type
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52033"
52027,"Glucose, Whole Blood","Glucose, Whole Blood | Glucose Whole Blood | Glucose, Whole Blood Blood | Blood Gas Glucose, Whole Blood",,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Glucose, Whole Blood
ALIASES: Glucose, Whole Blood | Glucose Whole Blood | Glucose, Whole Blood Blood | Blood Gas Glucose, Whole Blood
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52027"
50802,Base Excess,Base Excess | Base Excess Blood | Blood Gas Base Excess,mEq/L,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Base Excess
ALIASES: Base Excess | Base Excess Blood | Blood Gas Base Excess
UNIT: mEq/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50802"
50814,Methemoglobin,Methemoglobin | Methemoglobin Blood | Blood Gas Methemoglobin,%,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Methemoglobin
ALIASES: Methemoglobin | Methemoglobin Blood | Blood Gas Methemoglobin
UNIT: %
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50814"
52034,Total Calcium,Total Calcium | Total Calcium Blood | Blood Gas Total Calcium,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Total Calcium
ALIASES: Total Calcium | Total Calcium Blood | Blood Gas Total Calcium
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52034"
52442,Lactate,Lactate | Lactate Blood | Blood Gas Lactate,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Lactate
ALIASES: Lactate | Lactate Blood | Blood Gas Lactate
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52442"
50818,pCO2,pCO2 | pCO2 Blood | Blood Gas pCO2,mm Hg,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: pCO2
ALIASES: pCO2 | pCO2 Blood | Blood Gas pCO2
UNIT: mm Hg
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50818"
50828,Ventilator,Ventilator | Ventilator Blood | Blood Gas Ventilator,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Ventilator
ALIASES: Ventilator | Ventilator Blood | Blood Gas Ventilator
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50828"
50809,Glucose,Glucose | Glucose Blood | Blood Gas Glucose,mg/dL,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Glucose
ALIASES: Glucose | Glucose Blood | Blood Gas Glucose
UNIT: mg/dL
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50809"
50821,pO2,pO2 | pO2 Blood | Blood Gas pO2,mm Hg,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: pO2
ALIASES: pO2 | pO2 Blood | Blood Gas pO2
UNIT: mm Hg
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50821"
52026,Estimated GFR (MDRD equation),Estimated GFR (MDRD equation) | Estimated GFR (MDRD equation) Blood | Blood Gas Estimated GFR (MDRD equation),,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Estimated GFR (MDRD equation)
ALIASES: Estimated GFR (MDRD equation) | Estimated GFR (MDRD equation) Blood | Blood Gas Estimated GFR (MDRD equation)
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52026"
52434,"Chloride, Whole Blood","Chloride, Whole Blood | Chloride Whole Blood | Chloride, Whole Blood Blood | Blood Gas Chloride, Whole Blood",,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Chloride, Whole Blood
ALIASES: Chloride, Whole Blood | Chloride Whole Blood | Chloride, Whole Blood Blood | Blood Gas Chloride, Whole Blood
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52434"
50803,"Calculated Bicarbonate, Whole Blood","Calculated Bicarbonate, Whole Blood | Calculated Bicarbonate Whole Blood | Calculated Bicarbonate, Whole Blood Blood | Blood Gas Calculated Bicarbonate, Whole Blood",mEq/L,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Calculated Bicarbonate, Whole Blood
ALIASES: Calculated Bicarbonate, Whole Blood | Calculated Bicarbonate Whole Blood | Calculated Bicarbonate, Whole Blood Blood | Blood Gas Calculated Bicarbonate, Whole Blood
UNIT: mEq/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50803"
52023,Assist/Control,Assist/Control | Assist/Control Blood | Blood Gas Assist/Control,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Assist/Control
ALIASES: Assist/Control | Assist/Control Blood | Blood Gas Assist/Control
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52023"
50822,"Potassium, Whole Blood","Potassium, Whole Blood | Potassium Whole Blood | Potassium, Whole Blood Blood | Blood Gas Potassium, Whole Blood",mEq/L,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Potassium, Whole Blood
ALIASES: Potassium, Whole Blood | Potassium Whole Blood | Potassium, Whole Blood Blood | Blood Gas Potassium, Whole Blood
UNIT: mEq/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50822"
50827,Ventilation Rate,Ventilation Rate | Ventilation Rate Blood | Blood Gas Ventilation Rate,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Ventilation Rate
ALIASES: Ventilation Rate | Ventilation Rate Blood | Blood Gas Ventilation Rate
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50827"
52032,P50 of Hemoglobin,P50 of Hemoglobin | P50 of Hemoglobin Blood | Blood Gas P50 of Hemoglobin,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: P50 of Hemoglobin
ALIASES: P50 of Hemoglobin | P50 of Hemoglobin Blood | Blood Gas P50 of Hemoglobin
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52032"
50819,PEEP,PEEP | PEEP Blood | Blood Gas PEEP,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: PEEP
ALIASES: PEEP | PEEP Blood | Blood Gas PEEP
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50819"
52021,Abz,Abz | Abz Blood | Blood Gas Abz,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Abz
ALIASES: Abz | Abz Blood | Blood Gas Abz
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52021"
50805,Carboxyhemoglobin,Carboxyhemoglobin | Carboxyhemoglobin Blood | Blood Gas Carboxyhemoglobin,%,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Carboxyhemoglobin
ALIASES: Carboxyhemoglobin | Carboxyhemoglobin Blood | Blood Gas Carboxyhemoglobin
UNIT: %
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50805"
50816,Oxygen,Oxygen | Oxygen Blood | Blood Gas Oxygen,%,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Oxygen
ALIASES: Oxygen | Oxygen Blood | Blood Gas Oxygen
UNIT: %
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50816"
50825,Temperature,Temperature | Temperature Blood | Blood Gas Temperature,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Temperature
ALIASES: Temperature | Temperature Blood | Blood Gas Temperature
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50825"
52455,"Sodium, Whole Blood","Sodium, Whole Blood | Sodium Whole Blood | Sodium, Whole Blood Blood | Blood Gas Sodium, Whole Blood",,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Sodium, Whole Blood
ALIASES: Sodium, Whole Blood | Sodium Whole Blood | Sodium, Whole Blood Blood | Blood Gas Sodium, Whole Blood
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52455"
52039,Calculated Bicarbonate,Calculated Bicarbonate | Calculated Bicarbonate Fluid | Blood Gas Calculated Bicarbonate,,Blood Gas,Fluid,"TYPE: LAB_TEST
DISPLAY_NAME: Calculated Bicarbonate
ALIASES: Calculated Bicarbonate | Calculated Bicarbonate Fluid | Blood Gas Calculated Bicarbonate
UNIT: 
CATEGORY: Blood Gas
FLUID: Fluid
LOINC: 
ITEMID: 52039"
52042,pO2,pO2 | pO2 Fluid | Blood Gas pO2,,Blood Gas,Fluid,"TYPE: LAB_TEST
DISPLAY_NAME: pO2
ALIASES: pO2 | pO2 Fluid | Blood Gas pO2
UNIT: 
CATEGORY: Blood Gas
FLUID: Fluid
LOINC: 
ITEMID: 52042"
52040,pCO2,pCO2 | pCO2 Fluid | Blood Gas pCO2,,Blood Gas,Fluid,"TYPE: LAB_TEST
DISPLAY_NAME: pCO2
ALIASES: pCO2 | pCO2 Fluid | Blood Gas pCO2
UNIT: 
CATEGORY: Blood Gas
FLUID: Fluid
LOINC: 
ITEMID: 52040"
52038,Base Excess,Base Excess | Base Excess Fluid | Blood Gas Base Excess,,Blood Gas,Fluid,"TYPE: LAB_TEST
DISPLAY_NAME: Base Excess
ALIASES: Base Excess | Base Excess Fluid | Blood Gas Base Excess
UNIT: 
CATEGORY: Blood Gas
FLUID: Fluid
LOINC: 
ITEMID: 52038"
52041,pH,pH | pH Fluid | Blood Gas pH,,Blood Gas,Fluid,"TYPE: LAB_TEST
DISPLAY_NAME: pH
ALIASES: pH | pH Fluid | Blood Gas pH
UNIT: 
CATEGORY: Blood Gas
FLUID: Fluid
LOINC: 
ITEMID: 52041"
52045,"pH, Urine","pH, Urine | pH Urine | pH, Urine Urine | Blood Gas pH, Urine",,Blood Gas,Urine,"TYPE: LAB_TEST
DISPLAY_NAME: pH, Urine
ALIASES: pH, Urine | pH Urine | pH, Urine Urine | Blood Gas pH, Urine
UNIT: 
CATEGORY: Blood Gas
FLUID: Urine
LOINC: 
ITEMID: 52045"
52044,"Osmolality, Urine","Osmolality, Urine | Osmolality Urine | Osmolality, Urine Urine | Blood Gas Osmolality, Urine",,Blood Gas,Urine,"TYPE: LAB_TEST
DISPLAY_NAME: Osmolality, Urine
ALIASES: Osmolality, Urine | Osmolality Urine | Osmolality, Urine Urine | Blood Gas Osmolality, Urine
UNIT: 
CATEGORY: Blood Gas
FLUID: Urine
LOINC: 
ITEMID: 52044"
52047,"Sodium, Urine","Sodium, Urine | Sodium Urine | Sodium, Urine Urine | Blood Gas Sodium, Urine",,Blood Gas,Urine,"TYPE: LAB_TEST
DISPLAY_NAME: Sodium, Urine
ALIASES: Sodium, Urine | Sodium Urine | Sodium, Urine Urine | Blood Gas Sodium, Urine
UNIT: 
CATEGORY: Blood Gas
FLUID: Urine
LOINC: 
ITEMID: 52047"
52046,"Potassium, Urine","Potassium, Urine | Potassium Urine | Potassium, Urine Urine | Blood Gas Potassium, Urine",,Blood Gas,Urine,"TYPE: LAB_TEST
DISPLAY_NAME: Potassium, Urine
ALIASES: Potassium, Urine | Potassium Urine | Potassium, Urine Urine | Blood Gas Potassium, Urine
UNIT: 
CATEGORY: Blood Gas
FLUID: Urine
LOINC: 
ITEMID: 52046"
52043,Voided Specimen,Voided Specimen | Voided Specimen Other Body Fluid | Blood Gas Voided Specimen,,Blood Gas,Other Body Fluid,"TYPE: LAB_TEST
DISPLAY_NAME: Voided Specimen
ALIASES: Voided Specimen | Voided Specimen Other Body Fluid | Blood Gas Voided Specimen
UNIT: 
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 52043"
50829,Fluid Type,Fluid Type | Fluid Type Other Body Fluid | Blood Gas Fluid Type,,Blood Gas,Other Body Fluid,"TYPE: LAB_TEST
DISPLAY_NAME: Fluid Type
ALIASES: Fluid Type | Fluid Type Other Body Fluid | Blood Gas Fluid Type
UNIT: 
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 50829"
50833,Potassium,Potassium | Potassium Other Body Fluid | Blood Gas Potassium,,Blood Gas,Other Body Fluid,"TYPE: LAB_TEST
DISPLAY_NAME: Potassium
ALIASES: Potassium | Potassium Other Body Fluid | Blood Gas Potassium
UNIT: 
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 50833"
50834,"Sodium, Body Fluid","Sodium, Body Fluid | Sodium Body Fluid | Sodium, Body Fluid Other Body Fluid | Blood Gas Sodium, Body Fluid",,Blood Gas,Other Body Fluid,"TYPE: LAB_TEST
DISPLAY_NAME: Sodium, Body Fluid
ALIASES: Sodium, Body Fluid | Sodium Body Fluid | Sodium, Body Fluid Other Body Fluid | Blood Gas Sodium, Body Fluid
UNIT: 
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 50834"
50832,"pO2, Body Fluid","pO2, Body Fluid | pO2 Body Fluid | pO2, Body Fluid Other Body Fluid | Blood Gas pO2, Body Fluid",,Blood Gas,Other Body Fluid,"TYPE: LAB_TEST
DISPLAY_NAME: pO2, Body Fluid
ALIASES: pO2, Body Fluid | pO2 Body Fluid | pO2, Body Fluid Other Body Fluid | Blood Gas pO2, Body Fluid
UNIT: 
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 50832"
50831,pH,pH | pH Other Body Fluid | Blood Gas pH,units,Blood Gas,Other Body Fluid,"TYPE: LAB_TEST
DISPLAY_NAME: pH
ALIASES: pH | pH Other Body Fluid | Blood Gas pH
UNIT: units
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 50831"
50830,"pCO2, Body Fluid","pCO2, Body Fluid | pCO2 Body Fluid | pCO2, Body Fluid Other Body Fluid | Blood Gas pCO2, Body Fluid",,Blood Gas,Other Body Fluid,"TYPE: LAB_TEST
DISPLAY_NAME: pCO2, Body Fluid
ALIASES: pCO2, Body Fluid | pCO2 Body Fluid | pCO2, Body Fluid Other Body Fluid | Blood Gas pCO2, Body Fluid
UNIT: 
CATEGORY: Blood Gas
FLUID: Other Body Fluid
LOINC: 
ITEMID: 50830"
50858,Acid Phosphatase,Acid Phosphatase | Acid Phosphatase Blood | Chemistry Acid Phosphatase,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Acid Phosphatase
ALIASES: Acid Phosphatase | Acid Phosphatase Blood | Chemistry Acid Phosphatase
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50858"
50879,Barbiturate Screen,Barbiturate Screen | Barbiturate Screen Blood | Chemistry Barbiturate Screen,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Barbiturate Screen
ALIASES: Barbiturate Screen | Barbiturate Screen Blood | Chemistry Barbiturate Screen
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50879"
50900,Carcinoembyronic Antigen (CEA),Carcinoembyronic Antigen (CEA) | Carcinoembyronic Antigen (CEA) Blood | Chemistry Carcinoembyronic Antigen (CEA),ng/mL,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Carcinoembyronic Antigen (CEA)
ALIASES: Carcinoembyronic Antigen (CEA) | Carcinoembyronic Antigen (CEA) Blood | Chemistry Carcinoembyronic Antigen (CEA)
UNIT: ng/mL
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50900"
50914,Cyclosporin,Cyclosporin | Cyclosporin Blood | Chemistry Cyclosporin,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Cyclosporin
ALIASES: Cyclosporin | Cyclosporin Blood | Chemistry Cyclosporin
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50914"
51582,CH50,CH50 | CH50 Blood | Chemistry CH50,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: CH50
ALIASES: CH50 | CH50 Blood | Chemistry CH50
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51582"
51615,Epstein-Barr Virus EBNA IgG Ab,Epstein-Barr Virus EBNA IgG Ab | Epstein-Barr Virus EBNA IgG Ab Blood | Chemistry Epstein-Barr Virus EBNA IgG Ab,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Epstein-Barr Virus EBNA IgG Ab
ALIASES: Epstein-Barr Virus EBNA IgG Ab | Epstein-Barr Virus EBNA IgG Ab Blood | Chemistry Epstein-Barr Virus EBNA IgG Ab
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51615"
51672,Immune Complexes,Immune Complexes | Immune Complexes Blood | Chemistry Immune Complexes,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Immune Complexes
ALIASES: Immune Complexes | Immune Complexes Blood | Chemistry Immune Complexes
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51672"
51685,Lidocaine,Lidocaine | Lidocaine Blood | Chemistry Lidocaine,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Lidocaine
ALIASES: Lidocaine | Lidocaine Blood | Chemistry Lidocaine
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51685"
51755,White Blood Cells,White Blood Cells | White Blood Cells Blood | Chemistry White Blood Cells,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: White Blood Cells
ALIASES: White Blood Cells | White Blood Cells Blood | Chemistry White Blood Cells
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51755"
